,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE,Link,College WS
0,2000,2124,malik,allen,Malik Allen,PF-C,80.25,6' 8.25'',,,271.0,86.5,7' 2.5'',109.0,9' 1'',,,,25.5,29.0,11.83,,3.38,13.0,,,,,,,,,,,,,,,,,,,,,,,,malik-allen-1,4.2
1,2000,12019,harold,arceneaux,Harold Arceneaux,SG-SF,76.5,6' 4.5'',,,219.0,80.5,6' 8.5'',103.0,8' 7'',,,,,29.0,13.8,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,harold-arceneaux-1,5.6
2,2000,12020,lamont,barnes,Lamont Barnes,PF-C,80.5,6' 8.5'',,,235.5,87.5,7' 3.5'',108.0,9' 0'',,,,28.0,29.5,12.3,,3.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,lamont-barnes-1,5.2
3,2000,12131,mario,bland,Mario Bland,PF,77.5,6' 5.5'',,,287.0,84.0,7' 0'',103.0,8' 7'',,,,27.0,31.0,13.04,,3.47,15.0,,,,,,,,,,,,,,,,,,,,,,,,mario-bland-1,4.2
4,2000,2056,primoz,brezec,Primoz Brezec,C,84.75,7' 0.75'',,,243.0,86.0,7' 2'',110.0,9' 2'',,,,26.0,29.5,11.53,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,primoz-brezec-1,N/A
5,2000,2081,ernest,brown,Ernest Brown,C,82.0,6' 10'',,,222.5,85.25,7' 1.25'',109.5,9' 1.5'',,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,ernest-brown-1,N/A
6,2000,2049,speedy,claxton,Speedy Claxton,PG,70.5,5' 10.5'',,,166.0,72.0,6' 0'',94.5,7' 10.5'',,,,36.0,42.5,10.48,,3.06,6.0,,,,,,,,,,,,,,,,,,,,,,,,speedy-claxton-1,7.0
7,2000,12132,eric,coley,Eric Coley,SG-SF,76.0,6' 4'',,,205.0,83.0,6' 11'',102.0,8' 6'',,,,35.0,38.0,11.4,,3.15,10.0,,,,,,,,,,,,,,,,,,,,,,,,eric-coley-1,7.0
8,2000,12133,ed,cota,Ed Cota,PG,72.25,6' 0.25'',,,189.0,76.0,6' 4'',96.5,8' 0.5'',,,,26.5,33.5,10.98,,3.24,1.0,,,,,,,,,,,,,,,,,,,,,,,,ed-cota-1,2.9
9,2000,12134,schea,cotton,Schea Cotton,SF,76.25,6' 4.25'',,,219.5,79.0,6' 7'',100.0,8' 4'',,,,34.0,38.0,11.55,,3.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,schea-cotton-1,2.0
10,2000,2037,jamal,crawford,Jamal Crawford,PG-SG,76.5,6' 4.5'',,,175.0,82.0,6' 10'',102.5,8' 6.5'',,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,jamal-crawford-1,0.9
11,2000,12017,caswell,cyrus,Caswell Cyrus,PF,79.75,6' 7.75'',,,220.5,86.0,7' 2'',107.5,8' 11.5'',,,,33.5,37.5,12.12,,3.16,18.0,,,,,,,,,,,,,,,,,,,,,,,,caswell-cyrus-1,4.0
12,2000,2064,khalid,el-amin,Khalid El-Amin,PG,69.0,5' 9'',,,200.0,73.5,6' 1.5'',93.0,7' 9'',,,,27.5,32.0,10.59,,3.32,6.0,,,,,,,,,,,,,,,,,,,,,,,,khalid-el-amin-1,4.4
13,2000,12018,vassil,evtimov,Vassil Evtimov,PF,81.75,6' 9.75'',,,262.0,82.5,6' 10.5'',106.5,8' 10.5'',,,,21.0,28.5,11.75,,3.52,13.0,,,,,,,,,,,,,,,,,,,,,,,,vassil-evtimov-1,N/A
14,2000,2238,antonis,fotsis,Antonis Fotsis,SF,81.25,6' 9.25'',,,219.0,80.5,6' 8.5'',106.0,8' 10'',,,,27.0,30.0,11.6,,3.44,2.0,,,,,,,,,,,,,,,,,,,,,,,,antonis-fotsis-1,N/A
15,2000,2109,eddie,gill,Eddie Gill,PG,71.75,5' 11.75'',,,176.0,76.0,6' 4'',93.0,7' 9'',,,,35.0,38.5,11.12,,3.18,13.0,,,,,,,,,,,,,,,,,,,,,,,,eddie-gill-1,3.7
16,2000,12135,ceedric,goodwyn,Ceedric Goodwyn,SF-PF,78.0,6' 6'',,,238.0,82.0,6' 10'',104.5,8' 8.5'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ceedric-goodwyn-1,4.4
17,2000,12136,marcus,goree,Marcus Goree,SF-PF,79.5,6' 7.5'',,,239.0,84.5,7' 0.5'',105.5,8' 9.5'',,,,29.5,33.5,12.0,,3.25,13.0,,,,,,,,,,,,,,,,,,,,,,,,marcus-goree-1,4.3
18,2000,12137,a.j.,granger,A.J. Granger,SF,79.5,6' 7.5'',,,227.0,81.5,6' 9.5'',103.0,8' 7'',,,,30.0,34.0,10.73,,3.25,20.0,,,,,,,,,,,,,,,,,,,,,,,,aj-granger-1,5.8
19,2000,2062,a.j.,guyton,A.J. Guyton,PG-SG,72.75,6' 0.75'',,,175.0,75.75,6' 3.75'',97.5,8' 1.5'',,,,33.0,37.5,10.55,,3.22,9.0,,,,,,,,,,,,,,,,,,,,,,,,aj-guyton-1,4.3
20,2000,2110,ron,hale,Ron Hale,SG-SF,79.5,6' 7.5'',,,202.0,83.0,6' 11'',104.5,8' 8.5'',,,,29.5,34.5,12.58,,3.2,11.0,,,,,,,,,,,,,,,,,,,,,,,,ron-hale-1,2.2
21,2000,2078,jason,hart,Jason Hart,PG,73.75,6' 1.75'',,,181.0,78.0,6' 6'',97.5,8' 1.5'',,,,29.5,33.5,11.7,,3.34,9.0,,,,,,,,,,,,,,,,,,,,,,,,jason-hart-1,3.6
22,2000,2051,donnell,harvey,Donnell Harvey,PF,79.25,6' 7.25'',,,220.0,84.5,7' 0.5'',105.5,8' 9.5'',,,,33.0,32.5,11.23,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,donnell-harvey-1,4.0
23,2000,12138,johnny,hemsley,Johnny Hemsley,SG-SF,74.75,6' 2.75'',,,200.0,80.0,6' 8'',100.5,8' 4.5'',,,,31.5,35.0,11.5,,3.19,5.0,,,,,,,,,,,,,,,,,,,,,,,,johnny-hemsley-1,3.2
24,2000,12139,michael,hermon,Michael Hermon,SG-PG,74.75,6' 2.75'',,,195.0,78.25,6' 6.25'',98.5,8' 2.5'',,,,29.0,33.0,11.79,,3.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,michael-hermon-1,
25,2000,2083,cory,hightower,Cory Hightower,SG-SF,77.5,6' 5.5'',,,183.0,83.0,6' 11'',101.5,8' 5.5'',,,,29.5,34.5,11.92,,3.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,cory-hightower-1,1.0
26,2000,12140,shaheen,holloway,Shaheen Holloway,PG,69.5,5' 9.5'',,,174.0,70.0,5' 10'',91.0,7' 7'',,,,,,11.22,,3.32,6.0,,,,,,,,,,,,,,,,,,,,,,,,shaheen-holloway-1,4.3
27,2000,2067,eddie,house,Eddie House,SG-PG,71.75,5' 11.75'',,,176.5,75.5,6' 3.5'',95.0,7' 11'',,,,29.5,38.5,11.12,,3.27,5.0,,,,,,,,,,,,,,,,,,,,,,,,eddie-house-1,4.5
28,2000,2111,jimmie,hunter,Jimmie Hunter,SG-PG,75.0,6' 3'',,,170.0,80.0,6' 8'',100.0,8' 4'',,,,29.0,36.0,11.23,,3.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,jimmie-hunter-1,1.8
29,2000,12141,jacob,jaacks,Jacob Jaacks,PF,81.25,6' 9.25'',,,238.0,83.0,6' 11'',105.5,8' 9.5'',,,,26.0,32.0,11.48,,3.58,3.0,,,,,,,,,,,,,,,,,,,,,,,,jacob-jaacks-1,2.8
30,2000,2060,marko,jaric,Marko Jaric,SG-SF,78.5,6' 6.5'',,,210.0,81.0,6' 9'',104.0,8' 8'',,,,27.5,33.0,11.32,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,marko-jaric-1,N/A
31,2000,12142,nate,johnson,Nate Johnson,SF,78.5,6' 6.5'',,,211.5,80.5,6' 8.5'',104.0,8' 8'',,,,27.0,33.5,11.9,,3.33,13.0,,,,,,,,,,,,,,,,,,,,,,,,nate-johnson-1,0.3
32,2000,12143,kenyon,jones,Kenyon Jones,PF-C,81.0,6' 9'',,,282.0,85.0,7' 1'',108.0,9' 0'',,,,28.5,30.0,12.44,,3.6,20.0,,,,,,,,,,,,,,,,,,,,,,,,kenyon-jones-1,3.3
33,2000,2077,mark,karcher,Mark Karcher,SG,76.0,6' 4'',,,218.0,80.0,6' 8'',102.5,8' 6.5'',,,,27.5,30.5,11.51,,3.4,12.0,,,,,,,,,,,,,,,,,,,,,,,,mark-karcher-1,3.7
34,2000,12144,brandon,kurtz,Brandon Kurtz,PF-C,81.5,6' 9.5'',,,257.0,83.25,6' 11.25'',106.5,8' 10.5'',,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,brandon-kurtz-1,5.9
35,2000,2061,dan,langhi,Dan Langhi,SF,81.0,6' 9'',,,197.5,80.0,6' 8'',104.0,8' 8'',,,,31.0,34.5,10.85,,3.24,12.0,,,,,,,,,,,,,,,,,,,,,,,,dan-langhi-1,5.3
36,2000,2090,justin,love,Justin Love,PG-SG,73.5,6' 1.5'',,,205.5,76.5,6' 4.5'',97.5,8' 1.5'',,,,31.0,38.5,10.99,,3.31,24.0,,,,,,,,,,,,,,,,,,,,,,,,justin-love-1,5.3
37,2000,2058,mark,madsen,Mark Madsen,PF,80.0,6' 8'',,,236.5,84.5,7' 0.5'',104.5,8' 8.5'',,,,30.5,33.5,12.12,,3.46,13.0,,,,,,,,,,,,,,,,,,,,,,,,mark-madsen-1,4.2
38,2000,2082,dan,mcclintock,Dan McClintock,C-PF,83.0,6' 11'',,,250.0,85.5,7' 1.5'',107.0,8' 11'',,,,33.0,35.0,11.52,,3.33,20.0,,,,,,,,,,,,,,,,,,,,,,,,dan-mcclintock-1,4.5
39,2000,2087,pete,mickeal,Pete Mickeal,SG-SF,77.0,6' 5'',,,222.0,81.5,6' 9.5'',103.5,8' 7.5'',,,,28.0,34.5,10.83,,3.06,8.0,,,,,,,,,,,,,,,,,,,,,,,,pete-mickeal-1,5.5
