,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_W_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,College WS
0,2000,2124,malik,allen,Malik Allen,PF-C,82.11810344827587,271.0,86.5,109.0,9.297540983606558,9.235294117647058,9.875,25.5,29.0,11.83,4.2
1,2000,12019,harold,arceneaux,Harold Arceneaux,SG-SF,78.06458333333333,219.0,80.5,103.0,6.6845070422535215,8.636904761904763,9.363095238095237,29.761904761904763,29.0,13.8,5.6
2,2000,12020,lamont,barnes,Lamont Barnes,PF-C,82.11810344827587,235.5,87.5,108.0,9.297540983606558,9.235294117647058,9.875,28.0,29.5,12.3,5.2
3,2000,12131,mario,bland,Mario Bland,PF,81.06697247706421,287.0,84.0,103.0,8.297264573991031,8.996644295302014,9.674496644295303,27.0,31.0,13.04,4.2
6,2000,2049,speedy,claxton,Speedy Claxton,PG,74.13069306930693,166.0,72.0,94.5,6.420143540669856,8.291353383458647,8.971804511278195,36.0,42.5,10.48,7.0
7,2000,12132,eric,coley,Eric Coley,SG-SF,78.06458333333333,205.0,83.0,102.0,6.6845070422535215,8.636904761904763,9.363095238095237,35.0,38.0,11.4,7.0
8,2000,12133,ed,cota,Ed Cota,PG,74.13069306930693,189.0,76.0,96.5,6.420143540669856,8.291353383458647,8.971804511278195,26.5,33.5,10.98,2.9
9,2000,12134,schea,cotton,Schea Cotton,SF,79.70833333333333,219.5,79.0,100.0,6.9714285714285715,8.788461538461538,9.439903846153847,34.0,38.0,11.55,2.0
10,2000,2037,jamal,crawford,Jamal Crawford,PG-SG,75.52222222222223,175.0,82.0,102.5,7.0026,8.302631578947368,9.078947368421053,29.452830188679247,35.33018867924528,11.191509433962263,0.9
11,2000,12017,caswell,cyrus,Caswell Cyrus,PF,81.06697247706421,220.5,86.0,107.5,8.297264573991031,8.996644295302014,9.674496644295303,33.5,37.5,12.12,4.0
